Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
30,5000,6,er,linear_sem,0,Standard PC,0.4,0.7142857142857143,0.2777777777777778,75.0,23194,16019,15584,16019,7175,6.0333592891693115,5.915660858154297,0.11769843101501465
30,5000,6,er,linear_sem,1,Standard PC,0.4651162790697674,0.7692307692307693,0.3333333333333333,69.0,28259,19307,18872,19307,8952,4.692384958267212,4.581394910812378,0.11099004745483398
30,5000,6,er,linear_sem,2,Standard PC,0.4,0.7142857142857143,0.2777777777777778,75.0,23963,15946,15511,15946,8017,5.603016138076782,5.509059906005859,0.09395623207092285
30,5000,6,er,linear_sem,3,Standard PC,0.432,0.7714285714285715,0.3,71.0,21964,15158,14723,15158,6806,1.8295679092407227,1.758138656616211,0.07142925262451172
30,5000,6,er,linear_sem,4,Standard PC,0.3389830508474576,0.7142857142857143,0.2222222222222222,78.0,21831,15357,14922,15357,6474,6.770340442657471,6.648200988769531,0.12213945388793945
30,5000,6,er,linear_sem,5,Standard PC,0.48854961832061067,0.7804878048780488,0.35555555555555557,67.0,27046,19067,18632,19067,7979,5.76124119758606,5.633179664611816,0.12806153297424316
30,5000,6,er,linear_sem,6,Standard PC,0.38655462184873945,0.7931034482758621,0.25555555555555554,73.0,29318,19648,19213,19648,9670,6.603672504425049,6.490118980407715,0.11355352401733398
30,5000,6,er,linear_sem,7,Standard PC,0.4776119402985074,0.7272727272727273,0.35555555555555557,70.0,21356,15560,15125,15560,5796,2.75543212890625,2.6676108837127686,0.08782124519348145
30,5000,6,er,linear_sem,8,Standard PC,0.40625,0.6842105263157895,0.28888888888888886,76.0,27478,18753,18318,18753,8725,5.398043394088745,5.284761190414429,0.1132822036743164
30,5000,6,er,linear_sem,9,Standard PC,0.5076923076923078,0.8048780487804879,0.3707865168539326,64.0,19112,12864,12429,12864,6248,3.5260608196258545,3.4492013454437256,0.0768594741821289
30,5000,6,er,linear_sem,10,Standard PC,0.46153846153846156,0.75,0.3333333333333333,70.0,26131,17732,17297,17732,8399,3.7751219272613525,3.674213171005249,0.10090875625610352
30,5000,6,er,linear_sem,11,Standard PC,0.5074626865671641,0.7391304347826086,0.38636363636363635,66.0,23730,16491,16056,16491,7239,6.041689872741699,5.9324705600738525,0.10921931266784668
30,5000,6,er,linear_sem,12,Standard PC,0.41860465116279066,0.6923076923076923,0.3,75.0,27443,19273,18838,19273,8170,3.7739102840423584,3.652946710586548,0.12096357345581055
