Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
20,5000,4,er,linear_sem,0,Standard PC,0.6363636363636364,0.8076923076923077,0.525,24.0,6963,4696,4506,4696,2267,0.9194674491882324,0.8929588794708252,0.026508569717407227
20,5000,4,er,linear_sem,1,Standard PC,0.6176470588235295,0.75,0.525,26.0,5271,3633,3443,3633,1638,1.396829605102539,1.3735687732696533,0.023260831832885742
20,5000,4,er,linear_sem,2,Standard PC,0.7777777777777777,0.875,0.7,16.0,4383,3250,3060,3250,1133,0.8963232040405273,0.8755426406860352,0.020780563354492188
20,5000,4,er,linear_sem,3,Standard PC,0.625,0.8333333333333334,0.5,24.0,7061,4478,4288,4478,2583,1.2830290794372559,1.2595655918121338,0.02346348762512207
20,5000,4,er,linear_sem,4,Standard PC,0.5625000000000001,0.75,0.45,28.0,5996,4061,3871,4061,1935,0.5710296630859375,0.5508677959442139,0.020161867141723633
20,5000,4,er,linear_sem,5,Standard PC,0.6956521739130435,0.8275862068965517,0.6,21.0,6080,4411,4221,4411,1669,0.8361010551452637,0.8089494705200195,0.02715158462524414
20,5000,4,er,linear_sem,6,Standard PC,0.6984126984126985,0.9565217391304348,0.55,19.0,5521,3683,3493,3683,1838,0.693690299987793,0.6716721057891846,0.0220181941986084
20,5000,4,er,linear_sem,7,Standard PC,0.7042253521126761,0.8064516129032258,0.625,21.0,3834,2893,2703,2893,941,1.3910737037658691,1.371450662612915,0.0196230411529541
20,5000,4,er,linear_sem,8,Standard PC,0.6031746031746033,0.8260869565217391,0.475,25.0,6884,4673,4483,4673,2211,1.2022504806518555,1.1791906356811523,0.023059844970703125
20,5000,4,er,linear_sem,9,Standard PC,0.821917808219178,0.9090909090909091,0.75,13.0,3786,2810,2620,2810,976,1.0907912254333496,1.0715584754943848,0.019232749938964844
20,5000,4,er,linear_sem,10,Standard PC,0.7352941176470589,0.8928571428571429,0.625,18.0,7089,4843,4653,4843,2246,1.671626329421997,1.6420505046844482,0.029575824737548828
20,5000,4,er,linear_sem,11,Standard PC,0.676470588235294,0.8214285714285714,0.575,22.0,6188,4401,4211,4401,1787,1.847245693206787,1.8108558654785156,0.036389827728271484
20,5000,4,er,linear_sem,12,Standard PC,0.6268656716417911,0.7777777777777778,0.525,25.0,6106,4073,3883,4073,2033,1.6935100555419922,1.660754919052124,0.032755136489868164
20,5000,4,er,linear_sem,13,Standard PC,0.6666666666666667,0.8461538461538461,0.55,22.0,7499,4952,4762,4952,2547,2.0728759765625,2.038144826889038,0.034731149673461914
20,5000,4,er,linear_sem,14,Standard PC,0.7058823529411764,0.8571428571428571,0.6,20.0,5754,4201,4011,4201,1553,1.9542453289031982,1.9260880947113037,0.02815723419189453
20,5000,4,er,linear_sem,15,Standard PC,0.7462686567164178,0.9259259259259259,0.625,17.0,4729,3429,3239,3429,1300,0.8360598087310791,0.8152830600738525,0.020776748657226562
20,5000,4,er,linear_sem,16,Standard PC,0.6984126984126985,0.9565217391304348,0.55,19.0,8109,5178,4988,5178,2931,1.5599255561828613,1.5211443901062012,0.038781166076660156
20,5000,4,er,linear_sem,17,Standard PC,0.5671641791044776,0.7037037037037037,0.475,29.0,5352,3718,3528,3718,1634,1.7182698249816895,1.6852107048034668,0.033059120178222656
20,5000,4,er,linear_sem,18,Standard PC,0.7352941176470589,0.8928571428571429,0.625,18.0,4872,3404,3214,3404,1468,1.565180778503418,1.5347166061401367,0.03046417236328125
20,5000,4,er,linear_sem,19,Standard PC,0.7164179104477612,0.8888888888888888,0.6,19.0,5859,4062,3872,4062,1797,1.4815728664398193,1.450150489807129,0.03142237663269043
20,5000,4,er,linear_sem,20,Standard PC,0.6666666666666666,0.7931034482758621,0.575,23.0,6071,4032,3842,4032,2039,0.6440534591674805,0.6194195747375488,0.02463388442993164
20,5000,4,er,linear_sem,21,Standard PC,0.5714285714285715,0.6666666666666666,0.5,30.0,8671,5874,5684,5874,2797,2.127411127090454,2.0842034816741943,0.043207645416259766
20,5000,4,er,linear_sem,22,Standard PC,0.5970149253731343,0.7407407407407407,0.5,27.0,8242,5831,5641,5831,2411,2.3233144283294678,2.279585599899292,0.04372882843017578
20,5000,4,er,linear_sem,23,Standard PC,0.6567164179104479,0.8148148148148148,0.55,23.0,8403,5883,5693,5883,2520,1.321615219116211,1.2868821620941162,0.03473305702209473
20,5000,4,er,linear_sem,24,Standard PC,0.7352941176470589,0.8928571428571429,0.625,18.0,4897,3722,3532,3722,1175,0.6730585098266602,0.6543407440185547,0.01871776580810547
20,5000,4,er,linear_sem,25,Standard PC,0.7323943661971831,0.8387096774193549,0.65,19.0,6567,4687,4497,4687,1880,0.9451992511749268,0.9204480648040771,0.02475118637084961
20,5000,4,er,linear_sem,26,Standard PC,0.7352941176470589,0.8928571428571429,0.625,18.0,5758,4066,3876,4066,1692,0.6596546173095703,0.6409404277801514,0.018714189529418945
20,5000,4,er,linear_sem,27,Standard PC,0.6461538461538462,0.84,0.525,23.0,5440,3153,2963,3153,2287,0.6573920249938965,0.6354348659515381,0.0219571590423584
20,5000,4,er,linear_sem,28,Standard PC,0.5625000000000001,0.75,0.45,28.0,6032,4237,4047,4237,1795,1.0023672580718994,0.9776113033294678,0.02475595474243164
20,5000,4,er,linear_sem,29,Standard PC,0.6129032258064516,0.8636363636363636,0.475,24.0,6108,4219,4029,4219,1889,0.9389431476593018,0.9191441535949707,0.019798994064331055
20,5000,4,sf,linear_sem,0,Standard PC,0.8307692307692308,0.9310344827586207,0.75,11.0,2653,2073,1883,2073,580,0.3341999053955078,0.32092785835266113,0.01327204704284668
20,5000,4,sf,linear_sem,1,Standard PC,0.6774193548387097,0.8076923076923077,0.5833333333333334,20.0,3408,2760,2570,2760,648,0.3521151542663574,0.33957433700561523,0.012540817260742188
20,5000,4,sf,linear_sem,2,Standard PC,0.6875000000000001,0.7857142857142857,0.6111111111111112,20.0,4073,3420,3230,3420,653,0.5441529750823975,0.528221607208252,0.015931367874145508
20,5000,4,sf,linear_sem,3,Standard PC,0.6562499999999999,0.75,0.5833333333333334,22.0,2681,2175,1985,2175,506,0.4758884906768799,0.4638795852661133,0.012008905410766602
20,5000,4,sf,linear_sem,4,Standard PC,0.7636363636363634,0.9130434782608695,0.65625,13.0,4066,3398,3208,3398,668,0.9628326892852783,0.9442141056060791,0.01861858367919922
20,5000,4,sf,linear_sem,5,Standard PC,0.6071428571428571,0.85,0.4722222222222222,22.0,3766,2654,2464,2654,1112,0.6820695400238037,0.6656906604766846,0.01637887954711914
20,5000,4,sf,linear_sem,6,Standard PC,0.5862068965517242,0.7727272727272727,0.4722222222222222,24.0,4112,3167,2977,3167,945,0.6541979312896729,0.6369953155517578,0.01720261573791504
20,5000,4,sf,linear_sem,7,Standard PC,0.6440677966101694,0.8260869565217391,0.5277777777777778,21.0,5600,4456,4266,4456,1144,0.7622172832489014,0.7437834739685059,0.018433809280395508
20,5000,4,sf,linear_sem,8,Standard PC,0.8387096774193548,1.0,0.7222222222222222,10.0,4494,3715,3525,3715,779,0.8454713821411133,0.8262009620666504,0.01927042007446289
20,5000,4,sf,linear_sem,9,Standard PC,0.8474576271186441,0.9615384615384616,0.7575757575757576,9.0,4372,3755,3565,3755,617,1.1374766826629639,1.1156065464019775,0.021870136260986328
20,5000,4,sf,linear_sem,10,Standard PC,0.721311475409836,0.8461538461538461,0.6285714285714286,17.0,2520,2055,1865,2055,465,0.4058513641357422,0.3934946060180664,0.012356758117675781
20,5000,4,sf,linear_sem,11,Standard PC,0.7540983606557377,0.8846153846153846,0.6571428571428571,15.0,4146,3382,3192,3382,764,0.4350612163543701,0.42070746421813965,0.014353752136230469
20,5000,4,sf,linear_sem,12,Standard PC,0.7999999999999999,0.896551724137931,0.7222222222222222,13.0,2739,2190,2000,2190,549,0.5686604976654053,0.5554041862487793,0.013256311416625977
20,5000,4,sf,linear_sem,13,Standard PC,0.6666666666666666,0.8636363636363636,0.5428571428571428,19.0,3147,2479,2289,2479,668,0.6887409687042236,0.6747353076934814,0.014005661010742188
20,5000,4,sf,linear_sem,14,Standard PC,0.8333333333333334,0.9259259259259259,0.7575757575757576,10.0,2717,2121,1931,2121,596,0.28031468391418457,0.26882100105285645,0.011493682861328125
20,5000,4,sf,linear_sem,15,Standard PC,0.7936507936507937,0.8928571428571429,0.7142857142857143,13.0,4711,4324,4134,4324,387,1.2603907585144043,1.2389557361602783,0.021435022354125977
20,5000,4,sf,linear_sem,16,Standard PC,0.7096774193548387,0.8461538461538461,0.6111111111111112,18.0,4743,3625,3435,3625,1118,0.6843116283416748,0.6628034114837646,0.021508216857910156
20,5000,4,sf,linear_sem,17,Standard PC,0.7931034482758621,1.0,0.6571428571428571,12.0,2222,1615,1425,1615,607,0.2165229320526123,0.20766711235046387,0.008855819702148438
20,5000,4,sf,linear_sem,18,Standard PC,0.5818181818181818,0.8421052631578947,0.4444444444444444,23.0,3641,2718,2528,2718,923,0.6045682430267334,0.5913331508636475,0.013235092163085938
20,5000,4,sf,linear_sem,19,Standard PC,0.6779661016949152,0.8695652173913043,0.5555555555555556,19.0,2976,2338,2148,2338,638,0.30982017517089844,0.2978806495666504,0.011939525604248047
20,5000,4,sf,linear_sem,20,Standard PC,0.7878787878787877,0.8666666666666667,0.7222222222222222,14.0,4965,4157,3967,4157,808,1.1131200790405273,1.0906963348388672,0.022423744201660156
20,5000,4,sf,linear_sem,21,Standard PC,0.5357142857142857,0.75,0.4166666666666667,26.0,4352,3162,2972,3162,1190,0.6386282444000244,0.6226892471313477,0.015938997268676758
20,5000,4,sf,linear_sem,22,Standard PC,0.7241379310344828,0.9545454545454546,0.5833333333333334,16.0,4104,3497,3307,3497,607,0.7410619258880615,0.7236607074737549,0.01740121841430664
20,5000,4,sf,linear_sem,23,Standard PC,0.78125,0.8928571428571429,0.6944444444444444,14.0,3650,2853,2663,2853,797,0.7160594463348389,0.701718807220459,0.014340639114379883
20,5000,4,sf,linear_sem,24,Standard PC,0.7719298245614036,0.9565217391304348,0.6470588235294118,13.0,2431,1790,1600,1790,641,0.3247654438018799,0.3153402805328369,0.009425163269042969
20,5000,4,sf,linear_sem,25,Standard PC,0.8750000000000001,1.0,0.7777777777777778,8.0,3148,2525,2335,2525,623,0.33578968048095703,0.32387542724609375,0.011914253234863281
20,5000,4,sf,linear_sem,26,Standard PC,0.746268656716418,0.8064516129032258,0.6944444444444444,17.0,4616,3957,3767,3957,659,1.0197234153747559,1.0001165866851807,0.019606828689575195
20,5000,4,sf,linear_sem,27,Standard PC,0.7936507936507936,0.9259259259259259,0.6944444444444444,13.0,5239,4658,4468,4658,581,0.9045712947845459,0.8820080757141113,0.02256321907043457
20,5000,4,sf,linear_sem,28,Standard PC,0.689655172413793,0.8695652173913043,0.5714285714285714,18.0,3269,2465,2275,2465,804,0.5297958850860596,0.5149154663085938,0.01488041877746582
20,5000,4,sf,linear_sem,29,Standard PC,0.7213114754098361,0.88,0.6111111111111112,17.0,3617,2952,2762,2952,665,0.6091086864471436,0.5929532051086426,0.016155481338500977
20,5000,4,er,linear_sem,0,PC with deduce-dep,0.6363636363636364,0.8076923076923077,0.525,24.0,6963,4733,4543,4733,2230,0.6859829425811768,0.657907247543335,0.028075695037841797
20,5000,4,er,linear_sem,1,PC with deduce-dep,0.6176470588235295,0.75,0.525,26.0,5271,3661,3471,3661,1610,1.8911683559417725,1.8604035377502441,0.03076481819152832
20,5000,4,er,linear_sem,2,PC with deduce-dep,0.7777777777777777,0.875,0.7,16.0,4392,3285,3095,3285,1107,2.1195690631866455,2.0916025638580322,0.02796649932861328
20,5000,4,er,linear_sem,3,PC with deduce-dep,0.625,0.8333333333333334,0.5,24.0,7061,4496,4306,4496,2565,3.2979862689971924,3.2587790489196777,0.03920722007751465
20,5000,4,er,linear_sem,4,PC with deduce-dep,0.5625000000000001,0.75,0.45,28.0,5996,4081,3891,4081,1915,0.9079480171203613,0.880225658416748,0.02772235870361328
20,5000,4,er,linear_sem,5,PC with deduce-dep,0.6956521739130435,0.8275862068965517,0.6,21.0,6080,4434,4244,4434,1646,0.6005399227142334,0.5784194469451904,0.02212047576904297
20,5000,4,er,linear_sem,6,PC with deduce-dep,0.6984126984126985,0.9565217391304348,0.55,19.0,5521,3719,3529,3719,1802,2.408299684524536,2.3753998279571533,0.03289985656738281
20,5000,4,er,linear_sem,7,PC with deduce-dep,0.7042253521126761,0.8064516129032258,0.625,21.0,3840,2911,2721,2911,929,0.38086605072021484,0.36600470542907715,0.014861345291137695
20,5000,4,er,linear_sem,8,PC with deduce-dep,0.625,0.8333333333333334,0.5,24.0,6910,4723,4533,4723,2187,2.724637508392334,2.6852355003356934,0.039402008056640625
20,5000,4,er,linear_sem,9,PC with deduce-dep,0.821917808219178,0.9090909090909091,0.75,13.0,3786,2848,2658,2848,938,0.6485559940338135,0.6295979022979736,0.018958091735839844
20,5000,4,er,linear_sem,10,PC with deduce-dep,0.7352941176470589,0.8928571428571429,0.625,18.0,7089,4874,4684,4874,2215,1.1041433811187744,1.072587013244629,0.03155636787414551
20,5000,4,er,linear_sem,11,PC with deduce-dep,0.676470588235294,0.8214285714285714,0.575,22.0,6188,4425,4235,4425,1763,0.9560718536376953,0.9280540943145752,0.028017759323120117
20,5000,4,er,linear_sem,12,PC with deduce-dep,0.6268656716417911,0.7777777777777778,0.525,25.0,6106,4092,3902,4092,2014,2.828845500946045,2.7923784255981445,0.03646707534790039
20,5000,4,er,linear_sem,13,PC with deduce-dep,0.6666666666666667,0.8461538461538461,0.55,22.0,7499,4978,4788,4978,2521,1.3091485500335693,1.2752323150634766,0.03391623497009277
20,5000,4,er,linear_sem,14,PC with deduce-dep,0.7058823529411764,0.8571428571428571,0.6,20.0,5756,4226,4036,4226,1530,0.9409306049346924,0.9152660369873047,0.025664567947387695
20,5000,4,er,linear_sem,15,PC with deduce-dep,0.7462686567164178,0.9259259259259259,0.625,17.0,4729,3466,3276,3466,1263,3.2197773456573486,3.187622547149658,0.03215479850769043
20,5000,4,er,linear_sem,16,PC with deduce-dep,0.6984126984126985,0.9565217391304348,0.55,19.0,8118,5214,5024,5214,2904,3.2736241817474365,3.2325215339660645,0.04110264778137207
20,5000,4,er,linear_sem,17,PC with deduce-dep,0.5671641791044776,0.7037037037037037,0.475,29.0,5352,3739,3549,3739,1613,3.164475917816162,3.1320977210998535,0.032378196716308594
20,5000,4,er,linear_sem,18,PC with deduce-dep,0.7352941176470589,0.8928571428571429,0.625,18.0,4872,3431,3241,3431,1441,1.964702844619751,1.9363014698028564,0.02840137481689453
20,5000,4,er,linear_sem,19,PC with deduce-dep,0.7164179104477612,0.8888888888888888,0.6,19.0,5859,4094,3904,4094,1765,1.1958937644958496,1.1667592525482178,0.029134511947631836
20,5000,4,er,linear_sem,20,PC with deduce-dep,0.6666666666666666,0.7931034482758621,0.575,23.0,6071,4055,3865,4055,2016,1.8862566947937012,1.8528764247894287,0.03338027000427246
20,5000,4,er,linear_sem,21,PC with deduce-dep,0.5714285714285715,0.6666666666666666,0.5,30.0,8690,5929,5739,5929,2761,0.937875509262085,0.9046258926391602,0.033249616622924805
20,5000,4,er,linear_sem,22,PC with deduce-dep,0.5970149253731343,0.7407407407407407,0.5,27.0,8242,5851,5661,5851,2391,0.780738353729248,0.7520098686218262,0.028728485107421875
20,5000,4,er,linear_sem,23,PC with deduce-dep,0.6567164179104479,0.8148148148148148,0.55,23.0,8409,5920,5730,5920,2489,3.367637872695923,3.325810432434082,0.04182744026184082
20,5000,4,er,linear_sem,24,PC with deduce-dep,0.7352941176470589,0.8928571428571429,0.625,18.0,4897,3749,3559,3749,1148,0.4477548599243164,0.4298877716064453,0.017867088317871094
20,5000,4,er,linear_sem,25,PC with deduce-dep,0.7323943661971831,0.8387096774193549,0.65,19.0,6568,4715,4525,4715,1853,0.591362714767456,0.5681743621826172,0.023188352584838867
20,5000,4,er,linear_sem,26,PC with deduce-dep,0.7352941176470589,0.8928571428571429,0.625,18.0,5771,4107,3917,4107,1664,0.5994479656219482,0.5745847225189209,0.024863243103027344
20,5000,4,er,linear_sem,27,PC with deduce-dep,0.6461538461538462,0.84,0.525,23.0,5440,3169,2979,3169,2271,0.5610466003417969,0.5387935638427734,0.022253036499023438
20,5000,4,er,linear_sem,28,PC with deduce-dep,0.5625000000000001,0.75,0.45,28.0,6033,4268,4078,4268,1765,0.5547912120819092,0.5335321426391602,0.021259069442749023
20,5000,4,er,linear_sem,29,PC with deduce-dep,0.6129032258064516,0.8636363636363636,0.475,24.0,6108,4245,4055,4245,1863,0.5637097358703613,0.5396096706390381,0.024100065231323242
20,5000,4,sf,linear_sem,0,PC with deduce-dep,0.8307692307692308,0.9310344827586207,0.75,11.0,2653,2093,1903,2093,560,0.6319637298583984,0.6158862113952637,0.016077518463134766
20,5000,4,sf,linear_sem,1,PC with deduce-dep,0.6774193548387097,0.8076923076923077,0.5833333333333334,20.0,3408,2775,2585,2775,633,0.750596284866333,0.7339317798614502,0.016664505004882812
20,5000,4,sf,linear_sem,2,PC with deduce-dep,0.6875000000000001,0.7857142857142857,0.6111111111111112,20.0,4127,3496,3306,3496,631,0.7766017913818359,0.7590539455413818,0.0175478458404541
20,5000,4,sf,linear_sem,3,PC with deduce-dep,0.6562499999999999,0.75,0.5833333333333334,22.0,2684,2192,2002,2192,492,0.4615764617919922,0.4474465847015381,0.014129877090454102
20,5000,4,sf,linear_sem,4,PC with deduce-dep,0.7636363636363634,0.9130434782608695,0.65625,13.0,4066,3419,3229,3419,647,0.7409191131591797,0.7217710018157959,0.01914811134338379
20,5000,4,sf,linear_sem,5,PC with deduce-dep,0.5964912280701755,0.8095238095238095,0.4722222222222222,23.0,3797,2708,2518,2708,1089,0.3290102481842041,0.3150646686553955,0.013945579528808594
20,5000,4,sf,linear_sem,6,PC with deduce-dep,0.5862068965517242,0.7727272727272727,0.4722222222222222,24.0,4112,3202,3012,3202,910,0.9384274482727051,0.9164869785308838,0.02194046974182129
20,5000,4,sf,linear_sem,7,PC with deduce-dep,0.6440677966101694,0.8260869565217391,0.5277777777777778,21.0,5600,4498,4308,4498,1102,0.8957743644714355,0.8695318698883057,0.026242494583129883
20,5000,4,sf,linear_sem,8,PC with deduce-dep,0.8387096774193548,1.0,0.7222222222222222,10.0,4494,3750,3560,3750,744,0.5721311569213867,0.5519006252288818,0.020230531692504883
20,5000,4,sf,linear_sem,9,PC with deduce-dep,0.8474576271186441,0.9615384615384616,0.7575757575757576,9.0,4372,3777,3587,3777,595,1.4804248809814453,1.4591047763824463,0.021320104598999023
20,5000,4,sf,linear_sem,10,PC with deduce-dep,0.721311475409836,0.8461538461538461,0.6285714285714286,17.0,2520,2072,1882,2072,448,0.5822165012359619,0.5715608596801758,0.010655641555786133
20,5000,4,sf,linear_sem,11,PC with deduce-dep,0.7540983606557377,0.8846153846153846,0.6571428571428571,15.0,4146,3404,3214,3404,742,0.4605839252471924,0.4450826644897461,0.015501260757446289
20,5000,4,sf,linear_sem,12,PC with deduce-dep,0.7999999999999999,0.896551724137931,0.7222222222222222,13.0,2739,2209,2019,2209,530,0.44849705696105957,0.4342217445373535,0.014275312423706055
20,5000,4,sf,linear_sem,13,PC with deduce-dep,0.6666666666666666,0.8636363636363636,0.5428571428571428,19.0,3147,2503,2313,2503,644,0.30783987045288086,0.29520297050476074,0.012636899948120117
20,5000,4,sf,linear_sem,14,PC with deduce-dep,0.8333333333333334,0.9259259259259259,0.7575757575757576,10.0,2717,2130,1940,2130,587,0.43591737747192383,0.42102527618408203,0.014892101287841797
20,5000,4,sf,linear_sem,15,PC with deduce-dep,0.7936507936507937,0.8928571428571429,0.7142857142857143,13.0,4711,4340,4150,4340,371,1.2572672367095947,1.236729621887207,0.020537614822387695
