Setup,Nodes,Deg,Z_Size,Requested_mean,Performed_mean,Bypassed_mean
SetupA_Nodes,10,3,0,90.0,46.0,44.0
SetupA_Nodes,10,3,1,402.96666666666664,177.86666666666667,225.1
SetupA_Nodes,10,3,2,456.03333333333336,267.9,188.13333333333333
SetupA_Nodes,10,3,3,153.33333333333334,105.16666666666667,48.166666666666664
SetupA_Nodes,10,3,4,38.86666666666667,22.5,16.366666666666667
SetupA_Nodes,10,3,5,3.4,3.033333333333333,0.36666666666666664
SetupA_Nodes,10,3,6,0.23333333333333334,0.23333333333333334,0.0
SetupA_Nodes,10,3,7,0.0,0.0,0.0
SetupA_Nodes,10,3,8,0.0,0.0,0.0
SetupA_Nodes,20,3,0,380.0,191.0,189.0
SetupA_Nodes,20,3,1,2300.2,965.4666666666667,1334.7333333333333
SetupA_Nodes,20,3,2,3776.4333333333334,2280.5,1495.9333333333334
SetupA_Nodes,20,3,3,1525.4333333333334,1079.6333333333334,445.8
SetupA_Nodes,20,3,4,330.3,220.76666666666668,109.53333333333333
SetupA_Nodes,20,3,5,31.2,25.4,5.8
SetupA_Nodes,20,3,6,3.033333333333333,3.033333333333333,0.0
SetupA_Nodes,20,3,7,0.26666666666666666,0.26666666666666666,0.0
SetupA_Nodes,20,3,8,0.0,0.0,0.0
SetupA_Nodes,20,3,9,0.0,0.0,0.0
SetupA_Nodes,20,3,10,0.0,0.0,0.0
SetupA_Nodes,20,3,11,0.0,0.0,0.0
SetupA_Nodes,20,3,12,0.0,0.0,0.0
SetupA_Nodes,20,3,13,0.0,0.0,0.0
SetupA_Nodes,20,3,14,0.0,0.0,0.0
SetupA_Nodes,20,3,15,0.0,0.0,0.0
SetupA_Nodes,20,3,16,0.0,0.0,0.0
SetupA_Nodes,20,3,17,0.0,0.0,0.0
SetupA_Nodes,20,3,18,0.0,0.0,0.0
SetupA_Nodes,30,3,0,870.0,436.0,434.0
SetupA_Nodes,30,3,1,5250.166666666667,2102.366666666667,3147.8
SetupA_Nodes,30,3,2,8647.7,4882.533333333334,3765.1666666666665
SetupA_Nodes,30,3,3,6689.2,3914.8,2774.4
SetupA_Nodes,30,3,4,2623.0,1726.1666666666667,896.8333333333334
SetupA_Nodes,30,3,5,269.0,210.73333333333332,58.266666666666666
SetupA_Nodes,30,3,6,17.733333333333334,16.8,0.9333333333333333
SetupA_Nodes,30,3,7,3.2,3.2,0.0
SetupA_Nodes,30,3,8,0.3,0.3,0.0
SetupA_Nodes,30,3,9,0.0,0.0,0.0
SetupA_Nodes,30,3,10,0.0,0.0,0.0
SetupA_Nodes,30,3,11,0.0,0.0,0.0
SetupA_Nodes,30,3,12,0.0,0.0,0.0
SetupA_Nodes,30,3,13,0.0,0.0,0.0
SetupA_Nodes,30,3,14,0.0,0.0,0.0
SetupA_Nodes,30,3,15,0.0,0.0,0.0
SetupA_Nodes,30,3,16,0.0,0.0,0.0
SetupA_Nodes,30,3,17,0.0,0.0,0.0
SetupA_Nodes,30,3,18,0.0,0.0,0.0
SetupA_Nodes,30,3,19,0.0,0.0,0.0
SetupA_Nodes,30,3,20,0.0,0.0,0.0
SetupA_Nodes,30,3,21,0.0,0.0,0.0
SetupA_Nodes,30,3,22,0.0,0.0,0.0
SetupA_Nodes,30,3,23,0.0,0.0,0.0
SetupA_Nodes,30,3,24,0.0,0.0,0.0
SetupA_Nodes,30,3,25,0.0,0.0,0.0
SetupA_Nodes,30,3,26,0.0,0.0,0.0
SetupA_Nodes,30,3,27,0.0,0.0,0.0
SetupA_Nodes,30,3,28,0.0,0.0,0.0
