Dataset,Nodes,Samples,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
barley,48,2000,0,Standard PC,0.6923076923076923,0.9782608695652174,0.5357142857142857,40.0,6653,5525,9884,1.3007547855377197
barley,48,2000,0,DF-PC (Pure),0.7014925373134329,0.94,0.5595238095238095,40.0,4811,3683,10545,1.209385871887207
barley,48,2000,1,Standard PC,0.634920634920635,0.9523809523809523,0.47619047619047616,46.0,7079,5951,10586,1.4743375778198242
barley,48,2000,1,DF-PC (Pure),0.6259541984732824,0.8723404255319149,0.4880952380952381,49.0,5202,4074,11230,1.270637035369873
barley,48,2000,2,Standard PC,0.6615384615384615,0.9347826086956522,0.5119047619047619,44.0,6206,5078,9428,1.2187259197235107
barley,48,2000,2,DF-PC (Pure),0.6515151515151515,0.8958333333333334,0.5119047619047619,46.0,4529,3401,9795,1.0566096305847168
barley,48,2000,3,Standard PC,0.6771653543307087,1.0,0.5119047619047619,41.0,6916,5788,10300,1.4973711967468262
barley,48,2000,3,DF-PC (Pure),0.6567164179104478,0.88,0.5238095238095238,46.0,5130,4002,11141,1.0880966186523438
barley,48,2000,4,Standard PC,0.6456692913385826,0.9534883720930233,0.4880952380952381,45.0,6238,5110,9435,1.2012569904327393
barley,48,2000,4,DF-PC (Pure),0.6511627906976745,0.9333333333333333,0.5,45.0,4707,3579,10063,1.1620571613311768
barley,48,2000,5,Standard PC,0.6875000000000001,1.0,0.5238095238095238,40.0,6695,5567,10185,1.4031457901000977
barley,48,2000,5,DF-PC (Pure),0.6616541353383458,0.8979591836734694,0.5238095238095238,45.0,4935,3807,10672,1.2099967002868652
barley,48,2000,6,Standard PC,0.6615384615384615,0.9347826086956522,0.5119047619047619,44.0,6913,5785,10275,1.4687130451202393
barley,48,2000,6,DF-PC (Pure),0.6423357664233577,0.8301886792452831,0.5238095238095238,49.0,4974,3846,10944,1.121473789215088
barley,48,2000,7,Standard PC,0.6666666666666665,0.9555555555555556,0.5119047619047619,43.0,6314,5186,9565,1.2015471458435059
barley,48,2000,7,DF-PC (Pure),0.6470588235294118,0.8461538461538461,0.5238095238095238,48.0,4634,3506,10378,1.1517837047576904
barley,48,2000,8,Standard PC,0.696969696969697,0.9583333333333334,0.5476190476190477,40.0,6770,5642,10103,1.4652981758117676
barley,48,2000,8,DF-PC (Pure),0.6811594202898551,0.8703703703703703,0.5595238095238095,44.0,4895,3767,10752,1.2616114616394043
barley,48,2000,9,Standard PC,0.6614173228346456,0.9767441860465116,0.5,43.0,6484,5356,9817,1.2884705066680908
barley,48,2000,9,DF-PC (Pure),0.6511627906976745,0.9333333333333333,0.5,45.0,4808,3680,10383,1.2393524646759033
barley,48,2000,10,Standard PC,0.6976744186046512,1.0,0.5357142857142857,39.0,6956,5828,10287,1.5027587413787842
barley,48,2000,10,DF-PC (Pure),0.6818181818181818,0.9375,0.5357142857142857,42.0,5094,3966,10910,1.1608877182006836
barley,48,2000,11,Standard PC,0.696969696969697,0.9583333333333334,0.5476190476190477,40.0,6096,4968,9265,1.1705474853515625
barley,48,2000,11,DF-PC (Pure),0.7007299270072993,0.9056603773584906,0.5714285714285714,41.0,4542,3414,9837,1.1366987228393555
barley,48,2000,12,Standard PC,0.6771653543307087,1.0,0.5119047619047619,41.0,6821,5693,10196,1.4450271129608154
barley,48,2000,12,DF-PC (Pure),0.6616541353383458,0.8979591836734694,0.5238095238095238,45.0,5014,3886,10885,1.1431465148925781
barley,48,2000,13,Standard PC,0.6976744186046512,1.0,0.5357142857142857,39.0,6258,5130,9417,1.1933395862579346
barley,48,2000,13,DF-PC (Pure),0.696969696969697,0.9583333333333334,0.5476190476190477,40.0,4577,3449,10053,1.1415212154388428
barley,48,2000,14,Standard PC,0.6507936507936508,0.9761904761904762,0.4880952380952381,44.0,6649,5521,9841,1.4025158882141113
barley,48,2000,14,DF-PC (Pure),0.6259541984732824,0.8723404255319149,0.4880952380952381,49.0,4731,3603,10699,1.0759220123291016
barley,48,2000,15,Standard PC,0.6461538461538461,0.9130434782608695,0.5,46.0,7135,6007,10743,1.5854685306549072
barley,48,2000,15,DF-PC (Pure),0.6412213740458015,0.8936170212765957,0.5,47.0,5319,4191,11284,1.1777873039245605
barley,48,2000,16,Standard PC,0.6976744186046512,1.0,0.5357142857142857,39.0,6683,5555,10101,1.4481263160705566
barley,48,2000,16,DF-PC (Pure),0.6766917293233082,0.9183673469387755,0.5357142857142857,43.0,5018,3890,10889,1.0913233757019043
barley,48,2000,17,Standard PC,0.6917293233082707,0.9387755102040817,0.5476190476190477,41.0,6470,5342,9694,1.2467131614685059
barley,48,2000,17,DF-PC (Pure),0.6911764705882352,0.9038461538461539,0.5595238095238095,42.0,4727,3599,10302,1.190396785736084
barley,48,2000,18,Standard PC,0.6769230769230768,0.9565217391304348,0.5238095238095238,42.0,6723,5595,10078,1.4159023761749268
barley,48,2000,18,DF-PC (Pure),0.6717557251908398,0.9361702127659575,0.5238095238095238,43.0,4922,3794,10674,1.0994012355804443
barley,48,2000,19,Standard PC,0.6718749999999999,0.9772727272727273,0.5119047619047619,42.0,6738,5610,10179,1.433561086654663
barley,48,2000,19,DF-PC (Pure),0.6818181818181818,0.9375,0.5357142857142857,42.0,4968,3840,10590,1.127166986465454
barley,48,2000,20,Standard PC,0.6771653543307087,1.0,0.5119047619047619,41.0,6429,5301,9640,1.23634672164917
barley,48,2000,20,DF-PC (Pure),0.6615384615384615,0.9347826086956522,0.5119047619047619,44.0,4618,3490,10293,1.1457948684692383
barley,48,2000,21,Standard PC,0.6976744186046512,1.0,0.5357142857142857,39.0,7163,6035,10675,1.5386228561401367
barley,48,2000,21,DF-PC (Pure),0.6716417910447762,0.9,0.5357142857142857,44.0,5226,4098,11589,1.200575590133667
barley,48,2000,22,Standard PC,0.6870229007633588,0.9574468085106383,0.5357142857142857,41.0,6696,5568,10015,1.4113266468048096
barley,48,2000,22,DF-PC (Pure),0.6716417910447762,0.9,0.5357142857142857,44.0,4904,3776,10519,1.125206470489502
barley,48,2000,23,Standard PC,0.7022900763358778,0.9787234042553191,0.5476190476190477,39.0,6657,5529,10061,1.4698216915130615
barley,48,2000,23,DF-PC (Pure),0.712121212121212,0.9791666666666666,0.5595238095238095,38.0,5011,3883,10714,1.0658059120178223
barley,48,2000,24,Standard PC,0.6717557251908398,0.9361702127659575,0.5238095238095238,43.0,6763,5635,10263,1.356776237487793
barley,48,2000,24,DF-PC (Pure),0.6814814814814815,0.9019607843137255,0.5476190476190477,43.0,5200,4072,11129,1.1226222515106201
barley,48,2000,25,Standard PC,0.6923076923076923,0.9782608695652174,0.5357142857142857,40.0,6623,5495,9982,1.3118329048156738
barley,48,2000,25,DF-PC (Pure),0.6818181818181818,0.9375,0.5357142857142857,42.0,4805,3677,10310,1.0253064632415771
barley,48,2000,26,Standard PC,0.6870229007633588,0.9574468085106383,0.5357142857142857,41.0,6929,5801,10210,1.3805620670318604
barley,48,2000,26,DF-PC (Pure),0.6917293233082707,0.9387755102040817,0.5476190476190477,41.0,5082,3954,10855,1.1104586124420166
barley,48,2000,27,Standard PC,0.6615384615384615,0.9347826086956522,0.5119047619047619,44.0,7170,6042,10626,1.4112772941589355
barley,48,2000,27,DF-PC (Pure),0.6466165413533834,0.8775510204081632,0.5119047619047619,47.0,5159,4031,11321,1.1101443767547607
barley,48,2000,28,Standard PC,0.6769230769230768,0.9565217391304348,0.5238095238095238,42.0,6448,5320,9759,1.2459838390350342
barley,48,2000,28,DF-PC (Pure),0.6715328467153285,0.8679245283018868,0.5476190476190477,45.0,4750,3622,10548,0.996117353439331
barley,48,2000,29,Standard PC,0.6976744186046512,1.0,0.5357142857142857,39.0,6577,5449,9938,1.2826573848724365
barley,48,2000,29,DF-PC (Pure),0.6906474820143884,0.8727272727272727,0.5714285714285714,43.0,4855,3727,10794,1.0514051914215088
barley,48,5000,0,Standard PC,0.7313432835820894,0.98,0.5833333333333334,36.0,10863,9735,16058,2.529958724975586
barley,48,5000,0,DF-PC (Pure),0.7352941176470588,0.9615384615384616,0.5952380952380952,36.0,8316,7188,16636,2.121892213821411
barley,48,5000,1,Standard PC,0.7391304347826088,0.9444444444444444,0.6071428571428571,36.0,11025,9897,16150,2.59030818939209
barley,48,5000,1,DF-PC (Pure),0.7375886524822695,0.9122807017543859,0.6190476190476191,37.0,8512,7384,17015,2.189847707748413
barley,48,5000,2,Standard PC,0.7681159420289855,0.9814814814814815,0.6309523809523809,32.0,11039,9911,16197,2.5529630184173584
barley,48,5000,2,DF-PC (Pure),0.7412587412587412,0.8983050847457628,0.6309523809523809,37.0,8304,7176,16848,2.090078592300415
barley,48,5000,3,Standard PC,0.7445255474452553,0.9622641509433962,0.6071428571428571,35.0,10895,9767,15983,2.558044195175171
barley,48,5000,3,DF-PC (Pure),0.7083333333333333,0.85,0.6071428571428571,42.0,8165,7037,16702,2.0935239791870117
barley,48,5000,4,Standard PC,0.7536231884057971,0.9629629629629629,0.6190476190476191,34.0,12083,10955,17545,2.9695096015930176
barley,48,5000,4,DF-PC (Pure),0.742857142857143,0.9285714285714286,0.6190476190476191,36.0,9348,8220,18541,2.552410364151001
barley,48,5000,5,Standard PC,0.7681159420289855,0.9814814814814815,0.6309523809523809,32.0,11960,10832,17497,2.9061739444732666
barley,48,5000,5,DF-PC (Pure),0.7571428571428572,0.9464285714285714,0.6309523809523809,34.0,9368,8240,18308,2.5608413219451904
barley,48,5000,6,Standard PC,0.7536231884057971,0.9629629629629629,0.6190476190476191,34.0,10734,9606,15656,2.5041775703430176
barley,48,5000,6,DF-PC (Pure),0.7517730496453902,0.9298245614035088,0.6309523809523809,35.0,8265,7137,16329,2.10359787940979
barley,48,5000,7,Standard PC,0.7407407407407407,0.9803921568627451,0.5952380952380952,35.0,10709,9581,15832,2.512864112854004
barley,48,5000,7,DF-PC (Pure),0.7391304347826088,0.9444444444444444,0.6071428571428571,36.0,8208,7080,16473,2.1014626026153564
barley,48,5000,8,Standard PC,0.776978417266187,0.9818181818181818,0.6428571428571429,31.0,11508,10380,16848,2.652789831161499
barley,48,5000,8,DF-PC (Pure),0.7552447552447552,0.9152542372881356,0.6428571428571429,35.0,8776,7648,17854,2.2326977252960205
barley,48,5000,9,Standard PC,0.7352941176470588,0.9615384615384616,0.5952380952380952,36.0,10629,9501,15550,2.4879963397979736
barley,48,5000,9,DF-PC (Pure),0.7285714285714285,0.9107142857142857,0.6071428571428571,38.0,8037,6909,16134,2.0693132877349854
barley,48,5000,10,Standard PC,0.7352941176470588,0.9615384615384616,0.5952380952380952,36.0,10793,9665,15828,2.5005555152893066
barley,48,5000,10,DF-PC (Pure),0.7338129496402876,0.9272727272727272,0.6071428571428571,37.0,8247,7119,16516,2.0864357948303223
barley,48,5000,11,Standard PC,0.762589928057554,0.9636363636363636,0.6309523809523809,33.0,10274,9146,15277,2.3981966972351074
barley,48,5000,11,DF-PC (Pure),0.7571428571428572,0.9464285714285714,0.6309523809523809,34.0,7800,6672,15788,1.9847173690795898
barley,48,5000,12,Standard PC,0.782608695652174,1.0,0.6428571428571429,30.0,11215,10087,16536,2.6804087162017822
barley,48,5000,12,DF-PC (Pure),0.7801418439716312,0.9649122807017544,0.6547619047619048,31.0,8611,7483,17259,2.267728328704834
barley,48,5000,13,Standard PC,0.7681159420289855,0.9814814814814815,0.6309523809523809,32.0,10266,9138,15070,2.3921163082122803
barley,48,5000,13,DF-PC (Pure),0.7605633802816901,0.9310344827586207,0.6428571428571429,34.0,7824,6696,15851,1.9953324794769287
barley,48,5000,14,Standard PC,0.7857142857142857,0.9821428571428571,0.6547619047619048,30.0,11034,9906,16206,2.585805654525757
barley,48,5000,14,DF-PC (Pure),0.7724137931034483,0.9180327868852459,0.6666666666666666,33.0,8336,7208,16934,2.1492607593536377
barley,48,5000,15,Standard PC,0.776978417266187,0.9818181818181818,0.6428571428571429,31.0,10700,9572,15643,2.4686741828918457
barley,48,5000,15,DF-PC (Pure),0.7801418439716312,0.9649122807017544,0.6547619047619048,31.0,8125,6997,16231,2.0625650882720947
barley,48,5000,16,Standard PC,0.7445255474452553,0.9622641509433962,0.6071428571428571,35.0,10779,9651,15719,2.509033441543579
barley,48,5000,16,DF-PC (Pure),0.742857142857143,0.9285714285714286,0.6190476190476191,36.0,8218,7090,16331,2.0756797790527344
barley,48,5000,17,Standard PC,0.7647058823529412,1.0,0.6190476190476191,32.0,11090,9962,16239,2.6468679904937744
barley,48,5000,17,DF-PC (Pure),0.762589928057554,0.9636363636363636,0.6309523809523809,33.0,8516,7388,17136,2.2859113216400146
barley,48,5000,18,Standard PC,0.7499999999999999,0.9807692307692307,0.6071428571428571,34.0,11623,10495,17070,2.905895233154297
barley,48,5000,18,DF-PC (Pure),0.742857142857143,0.9285714285714286,0.6190476190476191,36.0,8899,7771,17851,2.349249839782715
barley,48,5000,19,Standard PC,0.7407407407407407,0.9803921568627451,0.5952380952380952,35.0,10602,9474,15652,2.677623987197876
barley,48,5000,19,DF-PC (Pure),0.7482014388489209,0.9454545454545454,0.6190476190476191,35.0,8056,6928,16245,2.1278231143951416
barley,48,5000,20,Standard PC,0.7313432835820894,0.98,0.5833333333333334,36.0,10625,9497,15712,2.537858009338379
barley,48,5000,20,DF-PC (Pure),0.7153284671532847,0.9245283018867925,0.5833333333333334,39.0,7997,6869,16297,2.021228075027466
barley,48,5000,21,Standard PC,0.7681159420289855,0.9814814814814815,0.6309523809523809,32.0,12090,10962,17602,2.975478172302246
barley,48,5000,21,DF-PC (Pure),0.7517730496453902,0.9298245614035088,0.6309523809523809,35.0,9219,8091,18377,2.4050867557525635
barley,48,5000,22,Standard PC,0.762589928057554,0.9636363636363636,0.6309523809523809,33.0,11248,10120,16439,2.7352230548858643
barley,48,5000,22,DF-PC (Pure),0.7464788732394366,0.9137931034482759,0.6309523809523809,36.0,8834,7706,17558,2.2976858615875244
barley,48,5000,23,Standard PC,0.7499999999999999,0.9807692307692307,0.6071428571428571,34.0,11639,10511,16914,2.906538724899292
barley,48,5000,23,DF-PC (Pure),0.762589928057554,0.9636363636363636,0.6309523809523809,33.0,8912,7784,17566,2.399729013442993
barley,48,5000,24,Standard PC,0.8028169014084507,0.9827586206896551,0.6785714285714286,28.0,10869,9741,15983,2.689371347427368
barley,48,5000,24,DF-PC (Pure),0.7891156462585033,0.9206349206349206,0.6904761904761905,31.0,8447,7319,16791,2.2113022804260254
barley,48,5000,25,Standard PC,0.7445255474452553,0.9622641509433962,0.6071428571428571,35.0,10434,9306,15376,2.5821478366851807
barley,48,5000,25,DF-PC (Pure),0.7482014388489209,0.9454545454545454,0.6190476190476191,35.0,7951,6823,15922,2.0259506702423096
barley,48,5000,26,Standard PC,0.7407407407407407,0.9803921568627451,0.5952380952380952,35.0,10878,9750,16098,2.6121904850006104
barley,48,5000,26,DF-PC (Pure),0.7352941176470588,0.9615384615384616,0.5952380952380952,36.0,8160,7032,16750,2.0240390300750732
barley,48,5000,27,Standard PC,0.7857142857142857,0.9821428571428571,0.6547619047619048,30.0,10949,9821,16176,2.6647980213165283
barley,48,5000,27,DF-PC (Pure),0.7777777777777778,0.9333333333333333,0.6666666666666666,32.0,8365,7237,16988,2.1646220684051514
barley,48,5000,28,Standard PC,0.7536231884057971,0.9629629629629629,0.6190476190476191,34.0,10589,9461,15633,2.5826056003570557
barley,48,5000,28,DF-PC (Pure),0.7517730496453902,0.9298245614035088,0.6309523809523809,35.0,8045,6917,16541,2.082759141921997
barley,48,5000,29,Standard PC,0.7746478873239436,0.9482758620689655,0.6547619047619048,32.0,11087,9959,16379,2.5970194339752197
barley,48,5000,29,DF-PC (Pure),0.7567567567567567,0.875,0.6666666666666666,36.0,8260,7132,17003,2.0802483558654785
mildew,35,2000,0,Standard PC,0.7532467532467533,0.9354838709677419,0.6304347826086957,19.0,2348,1753,4089,1.3795926570892334
mildew,35,2000,0,DF-PC (Pure),0.775,0.9117647058823529,0.6739130434782609,18.0,1983,1388,4258,1.0601065158843994
mildew,35,2000,1,Standard PC,0.7999999999999999,0.9411764705882353,0.6956521739130435,16.0,2413,1818,4099,1.4936647415161133
mildew,35,2000,1,DF-PC (Pure),0.8192771084337348,0.918918918918919,0.7391304347826086,15.0,1994,1399,4373,1.1663811206817627
mildew,35,2000,2,Standard PC,0.7848101265822786,0.9393939393939394,0.6739130434782609,17.0,2540,1945,4328,2.694462776184082
