Nodes,Samples,Deg,Graph,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
100,1000,2,er,0,Standard PC,0.9484536082474226,0.9787234042553191,0.92,10.0,8298,3348,14292,1.1989364624023438
100,1000,2,er,0,DF-PC (Pure),0.9484536082474226,0.9787234042553191,0.92,10.0,6359,1409,14324,1.0871894359588623
100,1000,2,er,1,Standard PC,0.9197860962566845,0.9885057471264368,0.86,15.0,9227,4277,16015,1.3173105716705322
100,1000,2,er,1,DF-PC (Pure),0.9206349206349206,0.9775280898876404,0.87,15.0,7503,2553,16060,1.0237326622009277
100,1000,2,er,2,Standard PC,0.8555555555555556,0.9625,0.77,26.0,7920,2970,14189,1.188058614730835
100,1000,2,er,2,DF-PC (Pure),0.8681318681318682,0.9634146341463414,0.79,24.0,6603,1653,14270,1.0918464660644531
100,1000,2,er,3,Standard PC,0.9304812834224598,1.0,0.87,13.0,10567,5617,18244,1.49112868309021
100,1000,2,er,3,DF-PC (Pure),0.9304812834224598,1.0,0.87,13.0,8265,3315,18360,1.312065839767456
100,1000,2,er,4,Standard PC,0.9326424870466321,0.967741935483871,0.9,13.0,9782,4832,16781,1.1671671867370605
100,1000,2,er,4,DF-PC (Pure),0.9230769230769231,0.9473684210526315,0.9,15.0,7750,2800,16858,1.214421033859253
100,1000,2,er,5,Standard PC,0.925531914893617,0.9886363636363636,0.87,14.0,8873,3923,15899,1.2495007514953613
100,1000,2,er,5,DF-PC (Pure),0.9270833333333334,0.967391304347826,0.89,14.0,7373,2423,15956,1.104156732559204
100,1000,2,er,6,Standard PC,0.9743589743589743,1.0,0.95,5.0,9579,4629,16520,1.2411422729492188
100,1000,2,er,6,DF-PC (Pure),0.9693877551020408,0.9895833333333334,0.95,6.0,7762,2812,16592,1.3379578590393066
100,1000,2,er,7,Standard PC,0.9417989417989417,1.0,0.89,11.0,8691,3741,14919,1.0750057697296143
100,1000,2,er,7,DF-PC (Pure),0.9270833333333334,0.967391304347826,0.89,14.0,6793,1843,15031,0.9017148017883301
100,1000,2,er,8,Standard PC,0.9361702127659575,1.0,0.88,12.0,9809,4859,16513,1.0809738636016846
100,1000,2,er,8,DF-PC (Pure),0.9361702127659575,1.0,0.88,12.0,7486,2536,16536,0.9645218849182129
100,1000,2,er,9,Standard PC,0.9304812834224598,1.0,0.87,13.0,8425,3475,14774,0.9079020023345947
100,1000,2,er,9,DF-PC (Pure),0.9214659685863875,0.967032967032967,0.88,15.0,6885,1935,14882,1.0766923427581787
100,1000,2,er,10,Standard PC,0.9637305699481865,1.0,0.93,7.0,7695,2745,13600,1.0055878162384033
100,1000,2,er,10,DF-PC (Pure),0.9494949494949495,0.9591836734693877,0.94,10.0,6319,1369,13717,0.8637852668762207
100,1000,2,er,11,Standard PC,0.9746192893401014,0.9896907216494846,0.96,5.0,8522,3572,14560,1.2851612567901611
100,1000,2,er,11,DF-PC (Pure),0.964824120603015,0.9696969696969697,0.96,7.0,6392,1442,14596,1.0049686431884766
100,1000,2,er,12,Standard PC,0.9424083769633509,0.989010989010989,0.9,11.0,8760,3810,15050,0.9906570911407471
100,1000,2,er,12,DF-PC (Pure),0.9484536082474226,0.9787234042553191,0.92,10.0,6792,1842,15101,0.8732664585113525
100,1000,2,er,13,Standard PC,0.9278350515463918,0.9574468085106383,0.9,14.0,8060,3110,14088,0.8698446750640869
100,1000,2,er,13,DF-PC (Pure),0.9183673469387755,0.9375,0.9,16.0,6373,1423,14202,0.7940995693206787
100,1000,2,er,14,Standard PC,0.9587628865979382,0.9893617021276596,0.93,8.0,8432,3482,14392,0.8957226276397705
100,1000,2,er,14,DF-PC (Pure),0.9489795918367346,0.96875,0.93,10.0,6539,1589,14422,0.8547778129577637
100,1000,2,er,15,Standard PC,0.9479166666666667,0.9891304347826086,0.91,10.0,9726,4776,16284,1.2906155586242676
100,1000,2,er,15,DF-PC (Pure),0.9435897435897437,0.968421052631579,0.92,11.0,7076,2126,16376,1.1816773414611816
100,1000,2,er,16,Standard PC,0.9304812834224598,1.0,0.87,13.0,9399,4449,15998,1.0885751247406006
100,1000,2,er,16,DF-PC (Pure),0.9128205128205129,0.9368421052631579,0.89,17.0,7390,2440,16318,1.0253627300262451
100,1000,2,er,17,Standard PC,0.9479166666666667,0.9891304347826086,0.91,10.0,9858,4908,16248,1.305671215057373
100,1000,2,er,17,DF-PC (Pure),0.9381443298969071,0.9680851063829787,0.91,12.0,7332,2382,16353,1.244678258895874
100,1000,2,er,18,Standard PC,0.9139784946236558,0.9883720930232558,0.85,16.0,10450,5500,17877,1.131885051727295
100,1000,2,er,18,DF-PC (Pure),0.8994708994708994,0.9550561797752809,0.85,19.0,8319,3369,17915,1.1139366626739502
100,1000,2,er,19,Standard PC,0.9479166666666667,0.9891304347826086,0.91,10.0,9521,4571,16101,1.289851427078247
100,1000,2,er,19,DF-PC (Pure),0.9435897435897437,0.968421052631579,0.92,11.0,7259,2309,16227,1.1059584617614746
100,1000,2,er,20,Standard PC,0.9583333333333334,1.0,0.92,8.0,8188,3238,14291,1.1067259311676025
100,1000,2,er,20,DF-PC (Pure),0.9637305699481865,1.0,0.93,7.0,6617,1667,14333,0.9955546855926514
100,1000,2,er,21,Standard PC,0.9197860962566845,0.9885057471264368,0.86,15.0,8974,4024,15428,1.1514732837677002
100,1000,2,er,21,DF-PC (Pure),0.9206349206349206,0.9775280898876404,0.87,15.0,7075,2125,15467,1.0348231792449951
100,1000,2,er,22,Standard PC,0.9206349206349206,0.9775280898876404,0.87,15.0,12943,7993,21303,2.0441701412200928
