Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
30,5000,6,er,linear_sem,0,Standard PC,0.5555555555555555,0.7407407407407407,0.4444444444444444,64.0,17171,12915,12480,12915,4256,1.9952552318572998,1.9169402122497559,0.07831501960754395
30,5000,6,er,linear_sem,1,Standard PC,0.44094488188976383,0.7567567567567568,0.3111111111111111,71.0,23075,15968,15533,15968,7107,2.2049808502197266,2.117906332015991,0.08707451820373535
30,5000,6,er,linear_sem,2,Standard PC,0.448,0.8,0.3111111111111111,69.0,22348,15675,15240,15675,6673,2.514704465866089,2.4111430644989014,0.1035614013671875
30,5000,6,er,linear_sem,3,Standard PC,0.5037037037037037,0.7555555555555555,0.37777777777777777,67.0,26591,18436,18001,18436,8155,2.8964011669158936,2.7963902950286865,0.10001087188720703
30,5000,6,er,linear_sem,4,Standard PC,0.336283185840708,0.8260869565217391,0.2111111111111111,75.0,30739,20595,20160,20595,10144,2.9116241931915283,2.7953639030456543,0.11626029014587402
30,5000,6,er,linear_sem,5,Standard PC,0.459016393442623,0.875,0.3111111111111111,66.0,25585,17250,16815,17250,8335,3.000610113143921,2.8848702907562256,0.11573982238769531
30,5000,6,er,linear_sem,6,Standard PC,0.4881889763779528,0.8378378378378378,0.34444444444444444,65.0,22793,15719,15284,15719,7074,2.4204556941986084,2.324085235595703,0.09637045860290527
30,5000,6,er,linear_sem,7,Standard PC,0.5116279069767441,0.8461538461538461,0.36666666666666664,63.0,24689,17020,16585,17020,7669,2.3861701488494873,2.2928569316864014,0.09331321716308594
30,5000,6,er,linear_sem,8,Standard PC,0.44094488188976383,0.7567567567567568,0.3111111111111111,71.0,18506,12741,12306,12741,5765,2.040166139602661,1.9592268466949463,0.08093929290771484
30,5000,6,er,linear_sem,9,Standard PC,0.3934426229508197,0.75,0.26666666666666666,74.0,28174,18770,18335,18770,9404,3.366102695465088,3.243056535720825,0.1230461597442627
30,5000,6,er,linear_sem,10,Standard PC,0.45161290322580644,0.8235294117647058,0.3111111111111111,68.0,24563,16229,15794,16229,8334,2.5779268741607666,2.479673385620117,0.09825348854064941
30,5000,6,er,linear_sem,11,Standard PC,0.41860465116279066,0.6923076923076923,0.3,75.0,28050,19659,19224,19659,8391,3.2935831546783447,3.168665885925293,0.12491726875305176
30,5000,6,er,linear_sem,12,Standard PC,0.42735042735042744,0.8928571428571429,0.2808988764044944,67.0,31113,21381,20946,21381,9732,3.851727247238159,3.718104124069214,0.1336231231689453
30,5000,6,er,linear_sem,13,Standard PC,0.5797101449275361,0.8163265306122449,0.449438202247191,58.0,17913,12905,12470,12905,5008,2.3555707931518555,2.2830634117126465,0.07250738143920898
30,5000,6,er,linear_sem,14,Standard PC,0.3870967741935483,0.7058823529411765,0.26666666666666666,76.0,30258,20898,20463,20898,9360,3.1334149837493896,3.003363847732544,0.1300511360168457
30,5000,6,er,linear_sem,15,Standard PC,0.44274809160305345,0.7073170731707317,0.32222222222222224,73.0,20791,14750,14315,14750,6041,2.2382094860076904,2.148111343383789,0.09009814262390137
30,5000,6,er,linear_sem,16,Standard PC,0.43939393939393945,0.6904761904761905,0.32222222222222224,74.0,29008,19880,19445,19880,9128,4.1359007358551025,3.9997596740722656,0.13614106178283691
30,5000,6,er,linear_sem,17,Standard PC,0.3846153846153846,0.625,0.2777777777777778,80.0,26363,17762,17327,17762,8601,2.5763418674468994,2.4758501052856445,0.10049176216125488
30,5000,6,er,linear_sem,18,Standard PC,0.46875,0.7894736842105263,0.3333333333333333,68.0,27985,18572,18137,18572,9413,2.989199161529541,2.8789401054382324,0.1102590560913086
30,5000,6,er,linear_sem,19,Standard PC,0.44262295081967207,0.84375,0.3,68.0,25037,16548,16113,16548,8489,2.51814603805542,2.417693853378296,0.10045218467712402
30,5000,6,er,linear_sem,20,Standard PC,0.5038167938931297,0.8048780487804879,0.36666666666666664,65.0,23223,15710,15275,15710,7513,2.5437495708465576,2.4450509548187256,0.09869861602783203
30,5000,6,er,linear_sem,21,Standard PC,0.44961240310077527,0.7435897435897436,0.32222222222222224,71.0,21255,14446,14011,14446,6809,2.283940076828003,2.194472312927246,0.08946776390075684
30,5000,6,er,linear_sem,22,Standard PC,0.5,0.7391304347826086,0.37777777777777777,68.0,20031,14352,13917,14352,5679,2.5314109325408936,2.43320631980896,0.0982046127319336
30,5000,6,er,linear_sem,23,Standard PC,0.4651162790697674,0.7692307692307693,0.3333333333333333,69.0,28538,19713,19278,19713,8825,3.432997703552246,3.3150389194488525,0.11795878410339355
30,5000,6,er,linear_sem,24,Standard PC,0.36507936507936506,0.6388888888888888,0.25555555555555554,80.0,25198,17356,16921,17356,7842,2.9867382049560547,2.880504608154297,0.10623359680175781
30,5000,6,er,linear_sem,25,Standard PC,0.4852941176470588,0.717391304347826,0.36666666666666664,70.0,23258,15976,15541,15976,7282,2.2487645149230957,2.1636035442352295,0.08516097068786621
30,5000,6,er,linear_sem,26,Standard PC,0.3968253968253968,0.6944444444444444,0.2777777777777778,76.0,23009,15808,15373,15808,7201,2.8757524490356445,2.764259099960327,0.11149334907531738
30,5000,6,er,linear_sem,27,Standard PC,0.4923076923076923,0.8,0.35555555555555557,66.0,21498,15160,14725,15160,6338,2.2168362140655518,2.1338541507720947,0.08298206329345703
30,5000,6,er,linear_sem,28,Standard PC,0.3025210084033613,0.6206896551724138,0.2,83.0,29629,20526,20091,20526,9103,3.626873254776001,3.4900412559509277,0.13683199882507324
30,5000,6,er,linear_sem,29,Standard PC,0.37500000000000006,0.631578947368421,0.26666666666666666,80.0,24540,16578,16143,16578,7962,3.019385814666748,2.912700891494751,0.10668492317199707
30,5000,6,er,linear_sem,0,PC with deduce-dep,0.5555555555555555,0.7407407407407407,0.4444444444444444,64.0,17171,12985,12550,12985,4186,2.0498180389404297,1.977118968963623,0.07269906997680664
30,5000,6,er,linear_sem,1,PC with deduce-dep,0.44094488188976383,0.7567567567567568,0.3111111111111111,71.0,23122,16101,15666,16101,7021,2.6531834602355957,2.546989679336548,0.10619378089904785
30,5000,6,er,linear_sem,2,PC with deduce-dep,0.448,0.8,0.3111111111111111,69.0,22350,15780,15345,15780,6570,2.7439165115356445,2.637584686279297,0.10633182525634766
30,5000,6,er,linear_sem,3,PC with deduce-dep,0.5037037037037037,0.7555555555555555,0.37777777777777777,67.0,26650,18547,18112,18547,8103,2.8582711219787598,2.74294114112854,0.11532998085021973
30,5000,6,er,linear_sem,4,PC with deduce-dep,0.336283185840708,0.8260869565217391,0.2111111111111111,75.0,30739,20675,20240,20675,10064,3.9552178382873535,3.806614637374878,0.14860320091247559
30,5000,6,er,linear_sem,5,PC with deduce-dep,0.4715447154471545,0.8787878787878788,0.32222222222222224,65.0,25677,17420,16985,17420,8257,3.0466747283935547,2.9199016094207764,0.12677311897277832
30,5000,6,er,linear_sem,6,PC with deduce-dep,0.4881889763779528,0.8378378378378378,0.34444444444444444,65.0,22809,15806,15371,15806,7003,3.513183116912842,3.4007115364074707,0.1124715805053711
30,5000,6,er,linear_sem,7,PC with deduce-dep,0.5116279069767441,0.8461538461538461,0.36666666666666664,63.0,24692,17073,16638,17073,7619,2.7757797241210938,2.6679136753082275,0.10786604881286621
30,5000,6,er,linear_sem,8,PC with deduce-dep,0.44094488188976383,0.7567567567567568,0.3111111111111111,71.0,18521,12823,12388,12823,5698,2.797370433807373,2.6922342777252197,0.10513615608215332
30,5000,6,er,linear_sem,9,PC with deduce-dep,0.3934426229508197,0.75,0.26666666666666666,74.0,28174,18840,18405,18840,9334,2.7015511989593506,2.5956380367279053,0.10591316223144531
30,5000,6,er,linear_sem,10,PC with deduce-dep,0.45161290322580644,0.8235294117647058,0.3111111111111111,68.0,24584,16327,15892,16327,8257,2.635686159133911,2.5308258533477783,0.10486030578613281
30,5000,6,er,linear_sem,11,PC with deduce-dep,0.41860465116279066,0.6923076923076923,0.3,75.0,28050,19763,19328,19763,8287,2.993046760559082,2.8771841526031494,0.11586260795593262
30,5000,6,er,linear_sem,12,PC with deduce-dep,0.42735042735042744,0.8928571428571429,0.2808988764044944,67.0,31113,21436,21001,21436,9677,3.406770944595337,3.270587205886841,0.1361837387084961
30,5000,6,er,linear_sem,13,PC with deduce-dep,0.5797101449275361,0.8163265306122449,0.449438202247191,58.0,17933,12996,12561,12996,4937,2.7398481369018555,2.644655466079712,0.09519267082214355
30,5000,6,er,linear_sem,14,PC with deduce-dep,0.3870967741935483,0.7058823529411765,0.26666666666666666,76.0,30261,20990,20555,20990,9271,3.465765953063965,3.3323628902435303,0.13340306282043457
30,5000,6,er,linear_sem,15,PC with deduce-dep,0.44274809160305345,0.7073170731707317,0.32222222222222224,73.0,20820,14839,14404,14839,5981,2.816007614135742,2.72278094291687,0.09322667121887207
30,5000,6,er,linear_sem,16,PC with deduce-dep,0.43939393939393945,0.6904761904761905,0.32222222222222224,74.0,29009,19955,19520,19955,9054,3.488953113555908,3.350196599960327,0.13875651359558105
30,5000,6,er,linear_sem,17,PC with deduce-dep,0.3846153846153846,0.625,0.2777777777777778,80.0,26401,17879,17444,17879,8522,3.2587461471557617,3.150646209716797,0.10809993743896484
30,5000,6,er,linear_sem,18,PC with deduce-dep,0.46875,0.7894736842105263,0.3333333333333333,68.0,28029,18686,18251,18686,9343,3.1552624702453613,3.02677845954895,0.12848401069641113
30,5000,6,er,linear_sem,19,PC with deduce-dep,0.44262295081967207,0.84375,0.3,68.0,25074,16625,16190,16625,8449,2.5167829990386963,2.4152467250823975,0.10153627395629883
30,5000,6,er,linear_sem,20,PC with deduce-dep,0.5038167938931297,0.8048780487804879,0.36666666666666664,65.0,23223,15786,15351,15786,7437,2.398761749267578,2.3068783283233643,0.09188342094421387
30,5000,6,er,linear_sem,21,PC with deduce-dep,0.44961240310077527,0.7435897435897436,0.32222222222222224,71.0,21269,14524,14089,14524,6745,2.8818390369415283,2.775578022003174,0.10626101493835449
30,5000,6,er,linear_sem,22,PC with deduce-dep,0.5,0.7391304347826086,0.37777777777777777,68.0,20033,14419,13984,14419,5614,2.6207966804504395,2.5151290893554688,0.1056675910949707
30,5000,6,er,linear_sem,23,PC with deduce-dep,0.4651162790697674,0.7692307692307693,0.3333333333333333,69.0,28578,19839,19404,19839,8739,4.5058183670043945,4.363137483596802,0.14268088340759277
30,5000,6,er,linear_sem,24,PC with deduce-dep,0.36507936507936506,0.6388888888888888,0.25555555555555554,80.0,25215,17442,17007,17442,7773,3.088066816329956,2.965252161026001,0.12281465530395508
30,5000,6,er,linear_sem,25,PC with deduce-dep,0.4852941176470588,0.717391304347826,0.36666666666666664,70.0,23261,16041,15606,16041,7220,2.4415202140808105,2.344456672668457,0.09706354141235352
30,5000,6,er,linear_sem,26,PC with deduce-dep,0.3968253968253968,0.6944444444444444,0.2777777777777778,76.0,23009,15883,15448,15883,7126,2.7576656341552734,2.646568536758423,0.11109709739685059
30,5000,6,er,linear_sem,27,PC with deduce-dep,0.4923076923076923,0.8,0.35555555555555557,66.0,21498,15240,14805,15240,6258,2.7565877437591553,2.654125213623047,0.1024625301361084
30,5000,6,er,linear_sem,28,PC with deduce-dep,0.3025210084033613,0.6206896551724138,0.2,83.0,29629,20628,20193,20628,9001,3.231077194213867,3.104038715362549,0.12703847885131836
30,5000,6,er,linear_sem,29,PC with deduce-dep,0.37500000000000006,0.631578947368421,0.26666666666666666,80.0,24550,16655,16220,16655,7895,2.947925090789795,2.8210432529449463,0.12688183784484863
30,5000,6,er,linear_sem,0,DF-PC (Pure),0.5555555555555555,0.7407407407407407,0.4444444444444444,64.0,17175,9586,9151,9586,7589,2.015706777572632,1.7012248039245605,0.3144819736480713
30,5000,6,er,linear_sem,1,DF-PC (Pure),0.44094488188976383,0.7567567567567568,0.3111111111111111,71.0,23075,14120,13685,14120,8955,2.613208293914795,2.2615580558776855,0.3516502380371094
30,5000,6,er,linear_sem,2,DF-PC (Pure),0.46031746031746035,0.8055555555555556,0.32222222222222224,68.0,22452,13538,13103,13538,8914,2.9538514614105225,2.562009572982788,0.3918418884277344
30,5000,6,er,linear_sem,3,DF-PC (Pure),0.5037037037037037,0.7555555555555555,0.37777777777777777,67.0,26818,16809,16374,16809,10009,3.534656286239624,3.0651113986968994,0.4695448875427246
30,5000,6,er,linear_sem,4,DF-PC (Pure),0.336283185840708,0.8260869565217391,0.2111111111111111,75.0,30929,19421,18986,19421,11508,3.912482500076294,3.4005613327026367,0.5119211673736572
30,5000,6,er,linear_sem,5,DF-PC (Pure),0.4715447154471545,0.8787878787878788,0.32222222222222224,65.0,25677,16141,15706,16141,9536,3.367962598800659,2.93650484085083,0.4314577579498291
30,5000,6,er,linear_sem,6,DF-PC (Pure),0.4881889763779528,0.8378378378378378,0.34444444444444444,65.0,22794,13985,13550,13985,8809,2.6775503158569336,2.3264083862304688,0.35114192962646484
30,5000,6,er,linear_sem,7,DF-PC (Pure),0.5116279069767441,0.8461538461538461,0.36666666666666664,63.0,24692,15013,14578,15013,9679,3.3010032176971436,2.884005069732666,0.41699814796447754
30,5000,6,er,linear_sem,8,DF-PC (Pure),0.44094488188976383,0.7567567567567568,0.3111111111111111,71.0,18764,11280,10845,11280,7484,2.239039421081543,1.938913345336914,0.3001260757446289
30,5000,6,er,linear_sem,9,DF-PC (Pure),0.3934426229508197,0.75,0.26666666666666666,74.0,28174,17581,17146,17581,10593,3.012592315673828,2.605888605117798,0.4067037105560303
30,5000,6,er,linear_sem,10,DF-PC (Pure),0.45161290322580644,0.8235294117647058,0.3111111111111111,68.0,24584,15457,15022,15457,9127,2.8053314685821533,2.4147796630859375,0.3905518054962158
30,5000,6,er,linear_sem,11,DF-PC (Pure),0.41860465116279066,0.6923076923076923,0.3,75.0,28060,17793,17358,17793,10267,3.6457762718200684,3.187303304672241,0.45847296714782715
30,5000,6,er,linear_sem,12,DF-PC (Pure),0.42735042735042744,0.8928571428571429,0.2808988764044944,67.0,31113,19705,19270,19705,11408,3.86855149269104,3.3570404052734375,0.5115110874176025
30,5000,6,er,linear_sem,13,DF-PC (Pure),0.5797101449275361,0.8163265306122449,0.449438202247191,58.0,17925,10466,10031,10466,7459,2.1531500816345215,1.8481922149658203,0.30495786666870117
30,5000,6,er,linear_sem,14,DF-PC (Pure),0.3870967741935483,0.7058823529411765,0.26666666666666666,76.0,30265,19260,18825,19260,11005,3.4263241291046143,2.9546453952789307,0.4716787338256836
30,5000,6,er,linear_sem,15,DF-PC (Pure),0.44274809160305345,0.7073170731707317,0.32222222222222224,73.0,20820,12531,12096,12531,8289,2.4708096981048584,2.1253297328948975,0.34547996520996094
30,5000,6,er,linear_sem,16,DF-PC (Pure),0.43939393939393945,0.6904761904761905,0.32222222222222224,74.0,29009,18351,17916,18351,10658,3.0693235397338867,2.666172742843628,0.4031507968902588
30,5000,6,er,linear_sem,17,DF-PC (Pure),0.37209302325581395,0.6153846153846154,0.26666666666666666,81.0,26545,16741,16306,16741,9804,3.2616024017333984,2.8266987800598145,0.434903621673584
