Setup,Nodes,Deg,Rep,Z_Size,Requested_CITs,Performed_CITs,Bypassed_CITs
SetupA_Nodes,10,3,0,0,90,45,45
SetupA_Nodes,10,3,0,1,432,199,233
SetupA_Nodes,10,3,0,2,582,332,250
SetupA_Nodes,10,3,0,3,204,117,87
SetupA_Nodes,10,3,0,4,30,30,0
SetupA_Nodes,10,3,0,5,6,6,0
SetupA_Nodes,10,3,0,6,0,0,0
SetupA_Nodes,10,3,0,7,0,0,0
SetupA_Nodes,10,3,0,8,0,0,0
SetupA_Nodes,10,3,1,0,90,45,45
SetupA_Nodes,10,3,1,1,305,120,185
SetupA_Nodes,10,3,1,2,308,178,130
SetupA_Nodes,10,3,1,3,78,64,14
SetupA_Nodes,10,3,1,4,10,10,0
SetupA_Nodes,10,3,1,5,0,0,0
SetupA_Nodes,10,3,1,6,0,0,0
SetupA_Nodes,10,3,1,7,0,0,0
SetupA_Nodes,10,3,1,8,0,0,0
SetupA_Nodes,10,3,2,0,90,45,45
SetupA_Nodes,10,3,2,1,397,184,213
SetupA_Nodes,10,3,2,2,556,355,201
SetupA_Nodes,10,3,2,3,132,125,7
SetupA_Nodes,10,3,2,4,60,59,1
SetupA_Nodes,10,3,2,5,12,12,0
SetupA_Nodes,10,3,2,6,0,0,0
SetupA_Nodes,10,3,2,7,0,0,0
SetupA_Nodes,10,3,2,8,0,0,0
SetupA_Nodes,10,3,3,0,90,45,45
SetupA_Nodes,10,3,3,1,322,137,185
SetupA_Nodes,10,3,3,2,345,175,170
SetupA_Nodes,10,3,3,3,265,117,148
SetupA_Nodes,10,3,3,4,5,0,5
SetupA_Nodes,10,3,3,5,0,0,0
SetupA_Nodes,10,3,3,6,0,0,0
SetupA_Nodes,10,3,3,7,0,0,0
SetupA_Nodes,10,3,3,8,0,0,0
SetupA_Nodes,10,3,4,0,90,45,45
SetupA_Nodes,10,3,4,1,275,87,188
SetupA_Nodes,10,3,4,2,479,251,228
SetupA_Nodes,10,3,4,3,200,126,74
SetupA_Nodes,10,3,4,4,129,93,36
SetupA_Nodes,10,3,4,5,6,6,0
SetupA_Nodes,10,3,4,6,0,0,0
