Setup,Nodes,Deg,Z_Size,Requested_mean,Performed_mean,Bypassed_mean
SetupA_Nodes,10,3,0,90.0,45.0,45.0
SetupA_Nodes,10,3,1,382.5,168.3,214.2
SetupA_Nodes,10,3,2,430.23333333333335,252.23333333333332,178.0
SetupA_Nodes,10,3,3,149.83333333333334,110.43333333333334,39.4
SetupA_Nodes,10,3,4,29.266666666666666,25.766666666666666,3.5
SetupA_Nodes,10,3,5,4.4,4.4,0.0
SetupA_Nodes,10,3,6,0.23333333333333334,0.23333333333333334,0.0
SetupA_Nodes,10,3,7,0.0,0.0,0.0
SetupA_Nodes,10,3,8,0.0,0.0,0.0
SetupA_Nodes,20,3,0,380.0,190.0,190.0
SetupA_Nodes,20,3,1,2151.4666666666667,897.5,1253.9666666666667
SetupA_Nodes,20,3,2,3003.5333333333333,1804.7666666666667,1198.7666666666667
SetupA_Nodes,20,3,3,1700.0,1095.2666666666667,604.7333333333333
SetupA_Nodes,20,3,4,714.4333333333333,469.43333333333334,245.0
SetupA_Nodes,20,3,5,57.53333333333333,27.5,30.033333333333335
SetupA_Nodes,20,3,6,2.566666666666667,2.3333333333333335,0.23333333333333334
SetupA_Nodes,20,3,7,0.0,0.0,0.0
SetupA_Nodes,20,3,8,0.0,0.0,0.0
SetupA_Nodes,20,3,9,0.0,0.0,0.0
SetupA_Nodes,20,3,10,0.0,0.0,0.0
SetupA_Nodes,20,3,11,0.0,0.0,0.0
SetupA_Nodes,20,3,12,0.0,0.0,0.0
SetupA_Nodes,20,3,13,0.0,0.0,0.0
SetupA_Nodes,20,3,14,0.0,0.0,0.0
SetupA_Nodes,20,3,15,0.0,0.0,0.0
SetupA_Nodes,20,3,16,0.0,0.0,0.0
SetupA_Nodes,20,3,17,0.0,0.0,0.0
SetupA_Nodes,20,3,18,0.0,0.0,0.0
SetupA_Nodes,30,3,0,870.0,435.0,435.0
SetupA_Nodes,30,3,1,5339.033333333334,2086.266666666667,3252.766666666667
SetupA_Nodes,30,3,2,9899.7,5748.033333333334,4151.666666666667
SetupA_Nodes,30,3,3,9069.433333333332,5672.7,3396.733333333333
SetupA_Nodes,30,3,4,4386.033333333334,2160.0,2226.0333333333333
SetupA_Nodes,30,3,5,1245.8333333333333,583.4333333333333,662.4
SetupA_Nodes,30,3,6,11.433333333333334,7.7,3.7333333333333334
SetupA_Nodes,30,3,7,1.0666666666666667,0.5333333333333333,0.5333333333333333
SetupA_Nodes,30,3,8,0.0,0.0,0.0
SetupA_Nodes,30,3,9,0.0,0.0,0.0
SetupA_Nodes,30,3,10,0.0,0.0,0.0
SetupA_Nodes,30,3,11,0.0,0.0,0.0
SetupA_Nodes,30,3,12,0.0,0.0,0.0
SetupA_Nodes,30,3,13,0.0,0.0,0.0
SetupA_Nodes,30,3,14,0.0,0.0,0.0
SetupA_Nodes,30,3,15,0.0,0.0,0.0
SetupA_Nodes,30,3,16,0.0,0.0,0.0
SetupA_Nodes,30,3,17,0.0,0.0,0.0
SetupA_Nodes,30,3,18,0.0,0.0,0.0
SetupA_Nodes,30,3,19,0.0,0.0,0.0
SetupA_Nodes,30,3,20,0.0,0.0,0.0
SetupA_Nodes,30,3,21,0.0,0.0,0.0
SetupA_Nodes,30,3,22,0.0,0.0,0.0
SetupA_Nodes,30,3,23,0.0,0.0,0.0
SetupA_Nodes,30,3,24,0.0,0.0,0.0
SetupA_Nodes,30,3,25,0.0,0.0,0.0
SetupA_Nodes,30,3,26,0.0,0.0,0.0
SetupA_Nodes,30,3,27,0.0,0.0,0.0
SetupA_Nodes,30,3,28,0.0,0.0,0.0
SetupB_Density,20,2,0,380.0,190.0,190.0
SetupB_Density,20,2,1,716.6666666666666,283.46666666666664,433.2
SetupB_Density,20,2,2,322.0,187.6,134.4
SetupB_Density,20,2,3,66.2,39.233333333333334,26.966666666666665
SetupB_Density,20,2,4,9.733333333333333,7.4,2.3333333333333335
SetupB_Density,20,2,5,0.8,0.8,0.0
SetupB_Density,20,2,6,0.0,0.0,0.0
SetupB_Density,20,2,7,0.0,0.0,0.0
SetupB_Density,20,2,8,0.0,0.0,0.0
SetupB_Density,20,2,9,0.0,0.0,0.0
SetupB_Density,20,2,10,0.0,0.0,0.0
SetupB_Density,20,2,11,0.0,0.0,0.0
SetupB_Density,20,2,12,0.0,0.0,0.0
SetupB_Density,20,2,13,0.0,0.0,0.0
SetupB_Density,20,2,14,0.0,0.0,0.0
SetupB_Density,20,2,15,0.0,0.0,0.0
SetupB_Density,20,2,16,0.0,0.0,0.0
