Nodes,Deg,ErrorRate,Rep,Algo,F1,Prec,Rec,SHD,Requests,Performed_CITs,Bypassed_CITs
20,3,0.0,0,Standard PC,1.0,1.0,1.0,0.0,5746,5746,0
20,3,0.0,1,Standard PC,1.0,1.0,1.0,0.0,8573,8573,0
20,3,0.0,2,Standard PC,1.0,1.0,1.0,0.0,4983,4983,0
20,3,0.0,3,Standard PC,1.0,1.0,1.0,0.0,10264,10264,0
20,3,0.0,4,Standard PC,1.0,1.0,1.0,0.0,7896,7896,0
20,3,0.0,5,Standard PC,1.0,1.0,1.0,0.0,8127,8127,0
20,3,0.0,6,Standard PC,1.0,1.0,1.0,0.0,9137,9137,0
20,3,0.0,7,Standard PC,1.0,1.0,1.0,0.0,4485,4485,0
20,3,0.0,8,Standard PC,1.0,1.0,1.0,0.0,9117,9117,0
20,3,0.0,9,Standard PC,1.0,1.0,1.0,0.0,5926,5926,0
20,3,0.0,10,Standard PC,1.0,1.0,1.0,0.0,11990,11990,0
20,3,0.0,11,Standard PC,1.0,1.0,1.0,0.0,9232,9232,0
20,3,0.0,12,Standard PC,1.0,1.0,1.0,0.0,12328,12328,0
20,3,0.0,13,Standard PC,1.0,1.0,1.0,0.0,8620,8620,0
20,3,0.0,14,Standard PC,1.0,1.0,1.0,0.0,8269,8269,0
20,3,0.0,15,Standard PC,1.0,1.0,1.0,0.0,8054,8054,0
20,3,0.0,16,Standard PC,1.0,1.0,1.0,0.0,6235,6235,0
20,3,0.0,17,Standard PC,1.0,1.0,1.0,0.0,13347,13347,0
20,3,0.0,18,Standard PC,1.0,1.0,1.0,0.0,10184,10184,0
20,3,0.0,19,Standard PC,1.0,1.0,1.0,0.0,6042,6042,0
20,3,0.0,20,Standard PC,1.0,1.0,1.0,0.0,5716,5716,0
20,3,0.0,21,Standard PC,1.0,1.0,1.0,0.0,11070,11070,0
20,3,0.0,22,Standard PC,1.0,1.0,1.0,0.0,8267,8267,0
20,3,0.0,23,Standard PC,1.0,1.0,1.0,0.0,6777,6777,0
20,3,0.0,24,Standard PC,1.0,1.0,1.0,0.0,4888,4888,0
20,3,0.0,25,Standard PC,1.0,1.0,1.0,0.0,7786,7786,0
20,3,0.0,26,Standard PC,1.0,1.0,1.0,0.0,5773,5773,0
20,3,0.0,27,Standard PC,1.0,1.0,1.0,0.0,9040,9040,0
20,3,0.0,28,Standard PC,1.0,1.0,1.0,0.0,15219,15219,0
20,3,0.0,29,Standard PC,1.0,1.0,1.0,0.0,7315,7315,0
20,3,0.0,0,DF-PC (Pure),1.0,1.0,1.0,0.0,5746,3290,2456
20,3,0.0,1,DF-PC (Pure),1.0,1.0,1.0,0.0,8573,4968,3605
20,3,0.0,2,DF-PC (Pure),1.0,1.0,1.0,0.0,4983,2547,2436
20,3,0.0,3,DF-PC (Pure),1.0,1.0,1.0,0.0,10264,6186,4078
20,3,0.0,4,DF-PC (Pure),1.0,1.0,1.0,0.0,7896,4736,3160
20,3,0.0,5,DF-PC (Pure),1.0,1.0,1.0,0.0,8127,4775,3352
20,3,0.0,6,DF-PC (Pure),1.0,1.0,1.0,0.0,9137,5243,3894
20,3,0.0,7,DF-PC (Pure),1.0,1.0,1.0,0.0,4485,2149,2336
20,3,0.0,8,DF-PC (Pure),1.0,1.0,1.0,0.0,9117,5290,3827
20,3,0.0,9,DF-PC (Pure),1.0,1.0,1.0,0.0,5926,2817,3109
20,3,0.0,10,DF-PC (Pure),1.0,1.0,1.0,0.0,11990,6754,5236
20,3,0.0,11,DF-PC (Pure),1.0,1.0,1.0,0.0,9232,5656,3576
20,3,0.0,12,DF-PC (Pure),1.0,1.0,1.0,0.0,12328,7584,4744
20,3,0.0,13,DF-PC (Pure),1.0,1.0,1.0,0.0,8620,5053,3567
20,3,0.0,14,DF-PC (Pure),1.0,1.0,1.0,0.0,8269,4691,3578
20,3,0.0,15,DF-PC (Pure),1.0,1.0,1.0,0.0,8054,3843,4211
20,3,0.0,16,DF-PC (Pure),1.0,1.0,1.0,0.0,6235,3423,2812
20,3,0.0,17,DF-PC (Pure),1.0,1.0,1.0,0.0,13347,7691,5656
20,3,0.0,18,DF-PC (Pure),1.0,1.0,1.0,0.0,10184,6600,3584
20,3,0.0,19,DF-PC (Pure),1.0,1.0,1.0,0.0,6042,3621,2421
20,3,0.0,20,DF-PC (Pure),1.0,1.0,1.0,0.0,5716,2881,2835
20,3,0.0,21,DF-PC (Pure),1.0,1.0,1.0,0.0,11070,7096,3974
20,3,0.0,22,DF-PC (Pure),1.0,1.0,1.0,0.0,8267,4580,3687
20,3,0.0,23,DF-PC (Pure),1.0,1.0,1.0,0.0,6777,4007,2770
20,3,0.0,24,DF-PC (Pure),1.0,1.0,1.0,0.0,4888,2253,2635
20,3,0.0,25,DF-PC (Pure),1.0,1.0,1.0,0.0,7786,3414,4372
20,3,0.0,26,DF-PC (Pure),1.0,1.0,1.0,0.0,5773,3255,2518
20,3,0.0,27,DF-PC (Pure),1.0,1.0,1.0,0.0,9040,5176,3864
20,3,0.0,28,DF-PC (Pure),1.0,1.0,1.0,0.0,15219,9819,5400
20,3,0.0,29,DF-PC (Pure),1.0,1.0,1.0,0.0,7315,3554,3761
20,3,0.01,0,Standard PC,0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,5145,5145,0
20,3,0.01,1,Standard PC,0.6206896551724138,0.6428571428571429,0.6,22.0,6510,6510,0
20,3,0.01,2,Standard PC,0.9310344827586207,0.9642857142857143,0.9,4.0,3341,3341,0
20,3,0.01,3,Standard PC,0.9655172413793104,1.0,0.9333333333333333,2.0,6722,6722,0
20,3,0.01,4,Standard PC,0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,7126,7126,0
20,3,0.01,5,Standard PC,0.8771929824561403,0.9259259259259259,0.8333333333333334,7.0,6537,6537,0
20,3,0.01,6,Standard PC,0.8666666666666667,0.8666666666666667,0.8666666666666667,8.0,6109,6109,0
20,3,0.01,7,Standard PC,0.7142857142857142,0.7692307692307693,0.6666666666666666,16.0,3146,3146,0
20,3,0.01,8,Standard PC,0.9333333333333333,0.9333333333333333,0.9333333333333333,4.0,8411,8411,0
20,3,0.01,9,Standard PC,0.7540983606557377,0.7419354838709677,0.7666666666666667,15.0,6538,6538,0
20,3,0.01,10,Standard PC,0.8307692307692307,0.7714285714285715,0.9,11.0,7687,7687,0
20,3,0.01,11,Standard PC,0.8852459016393444,0.8709677419354839,0.9,7.0,10514,10514,0
20,3,0.01,12,Standard PC,0.8524590163934426,0.8387096774193549,0.8666666666666667,9.0,8930,8930,0
20,3,0.01,13,Standard PC,0.9666666666666667,0.9666666666666667,0.9666666666666667,2.0,5389,5389,0
